,solution_id,FTS_id,carrier_id,lat,lng,arrivaltime,exittime,operation_time,Setup_time,travel_Distance,travel_time,operation_rate,consumption_rate,demand
0,0,1,5,0,0,30.0,4680.673398769366,4650.673398769366,0,0.0,0.0,0.22,0,21139.424539860756
1,0,2,4,0,0,5947.837600000001,9135.408766871167,3187.5711668711665,0,0.74,0.74,0.244,0,13063.816257668715
2,0,2,2,0,0,30.0,3399.4098788332085,3369.4098788332085,0,0.74,0.74,0.244,0,13809.05688046397
3,0,3,1,0,0,30.0,9202.971357512955,9172.971357512955,0,0.0,0.0,0.194,0,47283.35751295338
4,0,4,3,0,0,30.0,1404.0187646548322,1374.0187646548322,0,30.0,30.0,0.259,0,5305.091755424062
5,0,4,2,0,0,1404.4887646548323,3399.4098788332085,1994.9211141783762,0,0.47,0.47,0.259,0,7702.3981242408345
6,0,5,3,0,0,30.0,1404.0187646548322,1374.0187646548322,0,0.47,0.47,0.248,0,5540.398244575937
7,0,5,5,0,0,1404.6887646548323,4680.673398769366,3275.984634114534,0,0.67,0.67,0.248,0,13209.61546013925
8,0,5,2,0,0,2720.1515199999994,3399.4098788332085,679.2583588332091,0,0.92,0.92,0.248,0,2738.9449952951977
9,0,6,4,0,0,30.0,9135.408766871167,9105.408766871167,0,30.0,30.0,0.245,0,37164.9337423313
10,0,7,1,0,0,30.0,9202.971357512955,9172.971357512955,0,30.0,30.0,0.192,0,47775.89248704664
